x,y,z
0.899902654,1.07246222,0
0.803007011,1.146812862,0
0.7,1.212435565,0
0.591665566,1.268830902,0
0.478828201,1.315569669,0
0.362346663,1.352296157,0
0.243107449,1.378730854,0
0.12201804,1.394672577,0
8.57E-17,1.4,0
-0.12201804,1.394672577,0
-0.243107449,1.378730854,0
-0.362346663,1.352296157,0
-0.478828201,1.315569669,0
-0.591665566,1.268830902,0
-0.7,1.212435565,0
-0.803007011,1.146812862,0
-0.899902654,1.07246222,0
-0.989949494,0.989949494,0
-1.07246222,0.899902654,0
-1.146812862,0.803007011,0
-1.212435565,0.7,0
-1.268830902,0.591665566,0
-1.315569669,0.478828201,0
-1.352296157,0.362346663,0
-1.378730854,0.243107449,0
-1.394672577,0.12201804,0
-1.4,1.71E-16,0
-1.394672577,-0.12201804,0
-1.378730854,-0.243107449,0
-1.352296157,-0.362346663,0
-1.315569669,-0.478828201,0
-1.268830902,-0.591665566,0
-1.212435565,-0.7,0
-1.146812862,-0.803007011,0
-1.07246222,-0.899902654,0
-0.989949494,-0.989949494,0
-0.899902654,-1.07246222,0
-0.803007011,-1.146812862,0
-0.7,-1.212435565,0
-0.591665566,-1.268830902,0
-0.478828201,-1.315569669,0
-0.362346663,-1.352296157,0
-0.243107449,-1.378730854,0
-0.12201804,-1.394672577,0
-2.57E-16,-1.4,0
0.12201804,-1.394672577,0
0.243107449,-1.378730854,0
0.362346663,-1.352296157,0
0.478828201,-1.315569669,0
0.591665566,-1.268830902,0
0.7,-1.212435565,0
0.803007011,-1.146812862,0
0.899902654,-1.07246222,0
0.989949494,-0.989949494,0
1.07246222,-0.899902654,0
1.146812862,-0.803007011,0
1.212435565,-0.7,0
1.268830902,-0.591665566,0
1.315569669,-0.478828201,0
1.352296157,-0.362346663,0
1.378730854,-0.243107449,0
1.394672577,-0.12201804,0
1.378730854,0,0.243107449
1.373484367,0.120164312,0.243107449
1.357784835,0.2394141,0.243107449
1.33175174,0.356841803,0.243107449
1.29558321,0.471553724,0.243107449
1.249554509,0.582676837,0.243107449
1.194015945,0.689365427,0.243107449
1.129390198,0.79080753,0.243107449
1.056169109,0.88623111,0.243107449
0.974909936,0.974909936,0.243107449
0.88623111,1.056169109,0.243107449
0.79080753,1.129390198,0.243107449
0.689365427,1.194015945,0.243107449
0.582676837,1.249554509,0.243107449
0.471553724,1.29558321,0.243107449
0.356841803,1.33175174,0.243107449
0.2394141,1.357784835,0.243107449
0.120164312,1.373484367,0.243107449
8.44E-17,1.378730854,0.243107449
-0.120164312,1.373484367,0.243107449
-0.2394141,1.357784835,0.243107449
-0.356841803,1.33175174,0.243107449
-0.471553724,1.29558321,0.243107449
-0.582676837,1.249554509,0.243107449
-0.689365427,1.194015945,0.243107449
-0.79080753,1.129390198,0.243107449
-0.88623111,1.056169109,0.243107449
-0.974909936,0.974909936,0.243107449
-1.056169109,0.88623111,0.243107449
-1.129390198,0.79080753,0.243107449
