Azimuth,Elevation,Distance
25.71428571,40,1.4
32.14285714,40,1.4
38.57142857,40,1.4
45,40,1.4
51.42857143,40,1.4
57.85714286,40,1.4
64.28571429,40,1.4
70.71428571,40,1.4
77.14285714,40,1.4
83.57142857,40,1.4
90,40,1.4
96.42857143,40,1.4
102.8571429,40,1.4
109.2857143,40,1.4
115.7142857,40,1.4
122.1428571,40,1.4
128.5714286,40,1.4
135,40,1.4
141.4285714,40,1.4
147.8571429,40,1.4
154.2857143,40,1.4
160.7142857,40,1.4
167.1428571,40,1.4
173.5714286,40,1.4
180,40,1.4
186.4285714,40,1.4
192.8571429,40,1.4
199.2857143,40,1.4
205.7142857,40,1.4
212.1428571,40,1.4
218.5714286,40,1.4
225,40,1.4
231.4285714,40,1.4
237.8571429,40,1.4
244.2857143,40,1.4
250.7142857,40,1.4
257.1428571,40,1.4
263.5714286,40,1.4
270,40,1.4
276.4285714,40,1.4
282.8571429,40,1.4
289.2857143,40,1.4
295.7142857,40,1.4
302.1428571,40,1.4
308.5714286,40,1.4
315,40,1.4
321.4285714,40,1.4
327.8571429,40,1.4
334.2857143,40,1.4
340.7142857,40,1.4
347.1428571,40,1.4
353.5714286,40,1.4
0,50,1.4
8,50,1.4
16,50,1.4
24,50,1.4
32,50,1.4
40,50,1.4
48,50,1.4
56,50,1.4
64,50,1.4
72,50,1.4
80,50,1.4
88,50,1.4
96,50,1.4
104,50,1.4
112,50,1.4
120,50,1.4
128,50,1.4
136,50,1.4
144,50,1.4
152,50,1.4
160,50,1.4
168,50,1.4
176,50,1.4
184,50,1.4
192,50,1.4
200,50,1.4
208,50,1.4
216,50,1.4
224,50,1.4
232,50,1.4
240,50,1.4
248,50,1.4
256,50,1.4
264,50,1.4
272,50,1.4
280,50,1.4
288,50,1.4
296,50,1.4
304,50,1.4
312,50,1.4
320,50,1.4
328,50,1.4
336,50,1.4
344,50,1.4
352,50,1.4
0,60,1.4
10,60,1.4
20,60,1.4
30,60,1.4
40,60,1.4
50,60,1.4
60,60,1.4
70,60,1.4
80,60,1.4
90,60,1.4
100,60,1.4
110,60,1.4
120,60,1.4
130,60,1.4
140,60,1.4
150,60,1.4
160,60,1.4
170,60,1.4
180,60,1.4
190,60,1.4
200,60,1.4
210,60,1.4
220,60,1.4
230,60,1.4
240,60,1.4
250,60,1.4
260,60,1.4
270,60,1.4
280,60,1.4
290,60,1.4
300,60,1.4
310,60,1.4
320,60,1.4
330,60,1.4
340,60,1.4
350,60,1.4
0,70,1.4
15,70,1.4
30,70,1.4
45,70,1.4
60,70,1.4
75,70,1.4
90,70,1.4
105,70,1.4
120,70,1.4
135,70,1.4
150,70,1.4
165,70,1.4
180,70,1.4
195,70,1.4
210,70,1.4
225,70,1.4
240,70,1.4
255,70,1.4
270,70,1.4
285,70,1.4
300,70,1.4
315,70,1.4
330,70,1.4
345,70,1.4
0,80,1.4
30,80,1.4
60,80,1.4
90,80,1.4
120,80,1.4
150,80,1.4
180,80,1.4
210,80,1.4
240,80,1.4
270,80,1.4
300,80,1.4
330,80,1.4
0,90,1.4
